phone,Motorola,xiaomi,htc,blackberry,sony,coolpad,lenovo,tcl,huawei,zte,lg,apple,nokia,samsung,acer,asus,panasonic,alcatel,oneplus,toshiba,microsoft,vivo,palm,sanyo,verso,spring,t-mobile,verizon wireless
printer,epson,hewlett,canon,lexmark,oki data,xerox,citizen,panasonic,samsung,apple,toshiba,dell,,,,,,,,,,,,,,,,
laptop,acer,intel,alienware,asus,dell,hp,lenovo,samsung,toshiba,sony,apple,gateway,panasonic,vizio,chicony,,,,,,,,,,,,,
playstation,sony,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbox,microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,
tv,lg,panasonic,samsung,sony,toshiba,philips,vizio,,,,,,,,,,,,,,,,,,,,,
